# STATION: KMCE,,,,,
# STATION NAME: Merced Regional Airport,,,,,
# LATITUDE: 37.28306,,,,,
# LONGITUDE: -120.50778,,,,,
# ELEVATION [ft]: 154,,,,,
# STATE: CA,,,,,
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1
,,Celsius,%,m/s,Degrees
KMCE,09/27/2020 19:00 PDT,29,37.44,1.54,300
KMCE,09/27/2020 19:05 PDT,29,37.44,2.06,300
KMCE,09/27/2020 19:10 PDT,29,37.44,1.54,310
KMCE,09/27/2020 19:15 PDT,28,39.68,1.54,320
KMCE,09/27/2020 19:20 PDT,28,39.68,1.54,310
KMCE,09/27/2020 19:25 PDT,28,39.68,2.06,320
KMCE,09/27/2020 19:30 PDT,27,42.06,2.06,340
KMCE,09/27/2020 19:35 PDT,26,44.61,2.06,340
KMCE,09/27/2020 19:40 PDT,26,44.61,2.57,340
KMCE,09/27/2020 19:45 PDT,26,47.61,2.57,340
KMCE,09/27/2020 19:50 PDT,26,47.61,2.57,340
KMCE,09/27/2020 19:53 PDT,26.1,47.02,2.06,340
KMCE,09/27/2020 19:55 PDT,26,47.61,2.06,340
KMCE,09/27/2020 20:00 PDT,26,47.61,2.06,340
KMCE,09/27/2020 20:05 PDT,27,44.89,2.06,330
KMCE,09/27/2020 20:10 PDT,27,44.89,2.06,320
KMCE,09/27/2020 20:15 PDT,27,44.89,1.54,330
KMCE,09/27/2020 20:20 PDT,27,44.89,1.54,320
KMCE,09/27/2020 20:25 PDT,26,47.61,2.06,320
KMCE,09/27/2020 20:30 PDT,26,47.61,2.06,320
KMCE,09/27/2020 20:35 PDT,26,47.61,2.06,320
KMCE,09/27/2020 20:40 PDT,26,47.61,1.54,310
KMCE,09/27/2020 20:45 PDT,26,47.61,2.06,320
KMCE,09/27/2020 20:50 PDT,25,50.52,2.06,330
KMCE,09/27/2020 20:53 PDT,25,50.19,1.54,330
KMCE,09/27/2020 20:55 PDT,25,50.52,1.54,330
KMCE,09/27/2020 21:00 PDT,25,50.52,1.54,340
KMCE,09/27/2020 21:05 PDT,25,50.52,1.54,340
KMCE,09/27/2020 21:10 PDT,25,50.52,1.54,340
KMCE,09/27/2020 21:15 PDT,26,47.61,0,0
KMCE,09/27/2020 21:20 PDT,26,47.61,1.54,330
KMCE,09/27/2020 21:25 PDT,26,47.61,1.54,330
KMCE,09/27/2020 21:30 PDT,26,47.61,1.54,330
KMCE,09/27/2020 21:35 PDT,26,47.61,0,0
KMCE,09/27/2020 21:40 PDT,25,50.52,0,0
KMCE,09/27/2020 21:45 PDT,25,50.52,0,0
KMCE,09/27/2020 21:50 PDT,24,53.62,0,0
KMCE,09/27/2020 21:53 PDT,24.4,52.02,0,0
KMCE,09/27/2020 21:55 PDT,25,50.52,0,0
KMCE,09/27/2020 22:00 PDT,24,53.62,0,0
KMCE,09/27/2020 22:05 PDT,23,56.95,0,0
KMCE,09/27/2020 22:10 PDT,23,56.95,0,0
KMCE,09/27/2020 22:15 PDT,23,56.95,0,0
KMCE,09/27/2020 22:20 PDT,23,56.95,0,0
KMCE,09/27/2020 22:25 PDT,23,56.95,0,0
KMCE,09/27/2020 22:30 PDT,23,53.36,0,0
KMCE,09/27/2020 22:35 PDT,23,56.95,0,0
KMCE,09/27/2020 22:40 PDT,23,56.95,0,0
KMCE,09/27/2020 22:45 PDT,23,56.95,0,0
KMCE,09/27/2020 22:50 PDT,22,56.7,0,0
KMCE,09/27/2020 22:53 PDT,21.1,56.84,1.54,230
KMCE,09/27/2020 22:55 PDT,22,56.7,0,0
KMCE,09/27/2020 23:00 PDT,22,60.51,2.06,230
KMCE,09/27/2020 23:05 PDT,22,60.51,2.06,240
KMCE,09/27/2020 23:10 PDT,22,56.7,1.54,260
KMCE,09/27/2020 23:15 PDT,22,56.7,1.54,240
KMCE,09/27/2020 23:20 PDT,21,60.27,0,0
KMCE,09/27/2020 23:25 PDT,21,60.27,0,0
KMCE,09/27/2020 23:30 PDT,21,60.27,0,0
KMCE,09/27/2020 23:35 PDT,20,60.03,0,0
KMCE,09/27/2020 23:40 PDT,21,60.27,0,0
KMCE,09/27/2020 23:45 PDT,21,60.27,0,0
KMCE,09/27/2020 23:50 PDT,21,60.27,0,0
KMCE,09/27/2020 23:53 PDT,20.6,60.97,1.54,150
KMCE,09/27/2020 23:55 PDT,19,63.87,0,0
KMCE,09/28/2020 00:00 PDT,20,64.1,1.54,40
KMCE,09/28/2020 00:05 PDT,20,60.03,0,0
KMCE,09/28/2020 00:10 PDT,19,63.87,1.54,110
KMCE,09/28/2020 00:15 PDT,19,63.87,1.54,60
KMCE,09/28/2020 00:20 PDT,19,63.87,0,0
KMCE,09/28/2020 00:25 PDT,19,63.87,0,0
KMCE,09/28/2020 00:30 PDT,19,68.2,0,0
KMCE,09/28/2020 00:35 PDT,19,68.2,0,0
KMCE,09/28/2020 00:40 PDT,19,68.2,0,0
KMCE,09/28/2020 00:45 PDT,19,68.2,0,0
KMCE,09/28/2020 00:50 PDT,18,72.6,0,0
